OmimID	Gene
125310	-
125320	-
125350	-
125370	-
125400	-
125420	-
125440	-
125450	DCK
125460	-
125480	MAFD1
125485	DSPP
125490	-
125500	-
125505	DNASE1
125510	-
125520	-
125530	-
125540	-
125550	-
125570	-
125580	-
125590	-
125595	-
125597	DPT
125600	-
125630	DDU
125635	-
125640	-
125643	DSC1
125645	DSC2
125647	DSP
125650	-
125660	DES
125670	DSG1
125671	DSG2
125700	-
125800	-
125850	-
125851	-
125852	-
125853	-
125855	DGKA
125860	NQO1
125870	-
125880	-
125890	-
125900	-
125950	DBI
126050	-
126060	DHFR
126061	-
126063	DLST
126064	DHODH
126065	CYP24A1
126070	-
126090	PCBD1
126100	-
126110	ARNT
126140	-
126141	DPP6
126150	HBEGF
126180	-
126190	-
126200	-
126250	-
126255	DLX2
126300	-
126320	-
126330	-
126335	GADD45A
126337	DDIT3
126340	ERCC2
126350	DNASE2
126370	-
126375	DNMT1
126380	ERCC1
126390	-
126391	LIG1
126410	-
126420	TOP1
126430	TOP2A
126431	TOP2B
126440	-
126448	-
126449	DRD1
126450	DRD2
126451	DRD3
126452	DRD4
126453	DRD5
126455	SLC6A3
126500	-
126550	-
126600	-
126650	SLC26A3
126660	DBN1
126700	-
126800	DURS1
126830	-
126840	-
126850	-
126900	-
126950	-
127000	-
127100	-
127200	-
127300	-
127350	-
127400	-
127500	-
127550	-
127600	-
127700	-
127750	-
127800	-
127820	-
128000	-
128100	-
128101	-
128200	-
128230	-
128235	-
128239	DAG1
128240	UTRN
128260	SNRPE
128290	-
128300	-
128400	-
128500	-
128600	-
128700	-
128710	-
128800	-
128900	-
128950	-
128980	-
128990	EGR1
128992	EGR4
129000	-
129010	EGR2
129100	-
129150	E11S
129190	NT5E
129200	-
129400	-
129490	-
129500	-
129510	-
129540	-
129550	-
129600	-
129750	-
129810	-
129830	-
129840	-
129850	-
129900	EEC1
129905	-
130000	-
130010	-
130020	-
130050	-
130060	-
130070	-
130080	-
130090	-
130100	-
130120	CELA1
130130	ELANE
130135	SERPINB1
130160	ELN
130180	EEGV1
130190	-
130200	-
130300	-
130400	-
130410	ETFB
130500	EPB41
130590	EEF1A1
130591	-
130592	EEF1D
130593	EEF1G
130600	-
130610	EEF2
130620	RPS14
130650	-
130660	EMILIN1
130700	-
130710	-
130720	-
130900	-
130950	-
131100	-
131150	-
131170	ERV3-1
131180	ERPL2
131190	ERPL1
131195	ENG
131200	-
131210	SELE
131220	FGF1
131222	TYMP
131230	ANXA5
131235	KDELR1
131240	EDN1
131241	EDN2
131242	EDN3
131243	EDNRA
131244	EDNRB
131290	EN1
131300	-
131310	EN2
131320	GATA3
131330	PENK
131340	PDYN
131360	ENO2
131370	ENO3
131375	-
131390	NID1
131398	RNASE3
131399	EPX
131400	-
131410	RNASE2
131430	-
131440	-
131445	-
131450	-
131460	-
131500	-
131530	EGF
131550	EGFR
131560	FLOT2
131600	-
131705	-
131750	-
131760	-
131800	-
131850	-
131880	-
131900	-
131950	-
131960	-
132000	-
132090	-
132100	-
132300	-
132350	STX2
132400	-
132450	-
132500	-
132600	-
132700	-
132800	-
132810	EPHX1
132811	EPHX2
132850	EBVS1
132860	-
132880	NR2F6
132890	NR2F1
132900	-
132990	-
133000	-
133020	-
133090	STOM
133100	-
133170	EPO
133171	EPOR
133180	-
133190	SCA34
133200	-
133220	ESA4
133230	-
133239	-
133240	-
133250	-
133260	-
133270	-
133280	ESD
133290	ESB3
133300	-
133420	-
133430	ESR1
133435	RUNX1T1
133440	EIF4E
133450	EWSR1
133500	-
133510	ERCC3
133520	ERCC4
133530	ERCC5
133535	ERCM1
133540	-
133550	SLC1A1
133600	-
133690	-
133700	-
133701	-
133705	-
133710	-
133730	-
133740	-
133750	-
133780	-
133800	-
133900	-
134000	-
134100	-
134200	-
134300	-
134350	CFD
134370	CFH
134371	CFHR1
134390	F3
134400	-
134430	-
134450	-
134500	-
134510	-
134520	-
134530	-
134540	-
134570	F13A1
134580	F13B
134600	-
134610	-
134629	FDPS
134631	-
134632	-
134633	-
134634	-
134635	FNTA
134636	FNTB
134637	FAS
134638	FASLG
134640	FABP2
134650	FABP1
134651	FABP3
134660	GSTP1
134690	FAU
134700	-
134720	-
134750	-
134770	FTH1
134780	-
134790	FTL
134795	FBL
134797	FBN1
134820	FGA
134830	FGB
134850	FGG
134900	-
134920	FGF2
134921	FGF6
134934	FGFR3
134935	FGFR4
135000	-
135100	-
135150	-
135290	-
135300	-
135400	-
135500	-
135550	-
135580	-
135600	FN1
135610	-
135620	ITGA5
135630	ITGB1
135631	-
135700	-
135750	-
135800	-
135820	FBLN1
135821	FBLN2
135900	-
135940	FLG
135950	-
136000	-
136100	-
136120	-
136130	FMO1
136131	FMO4
136132	FMO3
136140	-
136150	-
136200	-
136300	-
136350	FGFR1
136351	FLT3
136352	FLT4
136400	-
136425	FOLR2
136430	FOLR1
136435	FSHR
136440	KDSR
136470	FST
136480	-
136490	-
136500	-
136510	FPGS
136515	FOSL1
136520	-
136530	FSHB
136533	FOXO1
136535	FMN1
136537	FPR1
136538	FPR2
136539	FPR3
136540	-
136550	MCDR1
136560	-
136570	-
136580	-
136590	-
136600	-
136610	-
136620	-
136630	-
136640	-
136650	-
136660	-
136670	-
136680	-
136750	-
136760	-
136770	-
136800	-
136820	FUCA2
136830	-
136835	FUT5
136836	FUT6
136840	-
136850	FH
136870	-
136880	-
136890	-
136900	-
136950	FURIN
137000	-
137010	-
137020	TSTA3
137025	FYN
137026	GRK4
137028	GALK2
137030	GLAT
137033	-
137035	GAL
137040	-
137050	-
137060	B4GALT1
137061	-
137070	FUS
137100	IGAD1
137130	-
137140	GABRA2
137141	GABRA4
137142	GABRA5
137143	GABRA6
137150	ABAT
137160	GABRA1
137161	GABRR1
137162	GABRR2
137163	GABRD
137164	GABRG2
137165	SLC6A1
137166	GABRG1
137167	GGCX
137168	GGT5
137170	GGCT
137181	GGT2
137190	GABRB1
137192	GABRB3
137200	-
137207	LRRC32
137210	-
137215	-
137216	ATP4A
137217	ATP4B
137220	-
137240	GIP
137241	GIPR
137245	-
137250	GAST
137260	GRP
137270	-
137280	-
137290	TACSTD2
137295	GATA2
137350	GSN
137357	-
137360	-
137370	-
137400	-
137440	-
137500	-
137550	-
137560	-
137570	SLC20A1
137575	-
137580	-
137600	-
137700	-
137750	-
137760	-
137763	-
137765	-
137780	GFAP
137800	-
137900	-
137920	-
137940	-
137950	-
137960	MPV17
138000	-
138030	GCG
138032	GLP1R
138033	GCGR
138035	-
138040	NR3C1
138060	NR3C1P1
138070	-
138079	GCK
138090	H6PD
138100	-
138110	-
138120	HSPA5
138130	GLUD1
138140	SLC2A1
138150	GOT2
138160	SLC2A2
138170	SLC2A3
138180	GOT1
138190	SLC2A4
138200	GPT
138210	GPT2
138220	-
138230	SLC2A5
138240	-
138243	GRIK3
138244	GRIK2
138245	GRIK1
138246	GRIA4
138247	GRIA2
138248	GRIA1
138249	GRIN1
138250	ALDH18A1
138251	GRINA
138252	GRIN2B
138253	GRIN2A
138254	GRIN2C
138270	-
138275	GAD2
138276	-
138277	-
138280	GLS
138290	GLUL
138292	GFPT1
138295	EPRS
138297	ENPEP
138300	GSR
138319	GPX2
